Epoch Training Validation
1 0.19786301369863013 0.18876712328767123
2 0.2530958904109589 0.23602739726027397
3 0.2795068493150685 0.26035616438356163
4 0.29684931506849316 0.2726027397260274
5 0.3040821917808219 0.2812054794520548
6 0.30967123287671233 0.282
7 0.31323287671232874 0.28534246575342465
8 0.31446575342465755 0.2850958904109589
9 0.3110684931506849 0.2854794520547945
10 0.31323287671232874 0.2858082191780822
