Epoch Training Validation
1 0.21991780821917808 0.20728767123287672
2 0.2732054794520548 0.2538082191780822
3 0.30534246575342466 0.27964383561643835
4 0.31972602739726025 0.2941917808219178
5 0.3396712328767123 0.3086027397260274
6 0.35835616438356166 0.3203561643835616
7 0.37016438356164383 0.32126027397260276

