Epoch Training Validation
1 0.281013698630137 0.2645479452054795
2 0.34693150684931506 0.3186027397260274
3 0.3950958904109589 0.3424109589041096
4 0.42556164383561645 0.35975342465753424
5 0.45613698630136984 0.3655068493150685
6 0.47320547945205477 0.36747945205479454


