Epoch Training Validation
1 0.29484931506849316 0.268
2 0.36717808219178083 0.3299178082191781
3 0.41906849315068495 0.3548219178082192
4 0.46876712328767123 0.37517808219178084
5 0.5101643835616438 0.37945205479452054
6 0.5593424657534246 0.37583561643835617


